,0
시각,44
시간,44
워드,24
형태,24
키,23
패턴,20
트윗,19
감정,18
버블,17
텍스트,16
노드,14
차트,12
사용,12
양,11
수집,11
클라우드,11
극성,10
변화,10
빈도,10
의견,9
링크,9
정보,9
유저,8
언급,8
주요,8
특정,7
기간,7
데이터,7
축적,7
다이어그램,6
면적,6
크기,6
기반,6
댓글,6
추이,6
화로,6
플롯,6
관련,6
흐름,6
구간,6
통해,5
분포,5
파악,5
어휘,5
메시지,5
그래프,5
리트윗,5
주제,5
표현,5
따라서,4
그룹,4
파이,4
라인,4
포함,4
시킴,4
히트맵,4
함각,4
계층,4
포스팅,4
표시,4
대상,4
기록,4
관계,4
사용자,4
뉴스,3
발화,3
사람,3
총량,3
테그,3
공간,3
내용,3
달리,3
토픽,3
비교,3
활동,3
코멘트,3
위치,3
평가,3
은행,3
산점도,3
색상,3
루머,3
논쟁,3
행동,3
공유,3
사건,3
상자,3
제시,3
커뮤니티,3
단,2
이벤트,2
별,2
차이,2
등장,2
막대,2
리뷰,2
퇴적,2
맵,2
발생,2
스택,2
