,0
변화,11
경관,10
시간,10
흐름,9
강,9
의견,8
트윗,7
자연,6
양,6
정보,5
토픽,5
감정,5
극성,5
연결,5
자연현상,5
도형,4
후보자,4
형성,4
다리,4
호수,4
강물,4
기하,4
루머,3
표시,3
건축물,3
빈도,3
카운티,3
주제,3
나라,3
발생,3
관련,3
축적,3
색상,3
강의,3
따라서,3
포스팅,3
다른,3
플레이어,3
키,3
생,3
코멘트,3
특정,3
달라짐,2
폭,2
조물,2
보유,2
국가,2
물의,2
지도,2
링,2
폭포,2
등고선,2
무늬,2
표현,2
부모,2
노드,2
장소,2
하나,2
평가,2
대상,2
역할,2
인공,2
뉴스,2
사용자,2
관계,2
강시,2
협력,2
분열,2
확산,2
주체,1
상태,1
블럭,1
가지,1
도장,1
건설,1
동향,1
가이드라인,1
무슨,1
언제,1
등장,1
폭포수,1
종류,1
시공간,1
지류,1
사람,1
강도,1
이동,1
활동,1
기록,1
패턴,1
계류,1
렌즈,1
장면,1
중심,1
낙수,1
큐브,1
강조,1
참가자,1
땅,1
추출,1
