,0
시간,11
시각,10
워드,8
키,7
트윗,7
형태,6
텍스트,6
감정,5
그래프,4
빈도,4
패턴,4
링크,3
변화,3
코멘트,3
루머,3
클라우드,3
언급,3
노드,3
토픽,3
극성,3
의견,3
양,3
뉴스,2
정보,2
라인,2
축적,2
계층,2
구간,2
흐름,2
그룹,2
요약,2
주요,2
발생,2
막대,2
상,1
군집,1
주체,1
퍼뜨리,1
지역,1
특정,1
분포,1
추이,1
시킴,1
기반,1
도시,1
실제,1
수집,1
전개,1
등고선,1
이어그램,1
키다,1
생,1
타임,1
기간,1
표현,1
통해,1
사건,1
대상,1
선택,1
등장,1
포스팅,1
뷰,1
주목,1
차원,1
달리,1
사용,1
방법,1
데이터,1
함키,1
형식,1
다이어그램,1
제공,1
화가,1
관계,1
맥락,1
사각형,1
보유,1
줌,1
관련,1
리트윗,1
서로,1
스텍,1
여러,1
크기,1
주제,1
차트,1
파이,1
비교,1
이야기,1
비중,1
얼마만큼,1
후보,1
테그,1
공간,1
총량,1
플롯,1
상태,1
조화,1
강의,1
스택,1
